username,repo_name,stars,repo_url
mrdoob,three.js,105k,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,28.3k,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,23.8k,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,23.7k,https://github.com/BabylonJS/Babylon.js
FreeCAD,FreeCAD,23.3k,https://github.com/FreeCAD/FreeCAD
ssloy,tinyrenderer,21.4k,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,18.4k,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,16.9k,https://github.com/aframevr/aframe
blender,blender,14.3k,https://github.com/blender/blender
CesiumGS,cesium,13.3k,https://github.com/CesiumGS/cesium
4ian,GDevelop,13.1k,https://github.com/4ian/GDevelop
isl-org,Open3D,12k,https://github.com/isl-org/Open3D
MonoGame,MonoGame,11.9k,https://github.com/MonoGame/MonoGame
mapbox,mapbox-gl-js,11.4k,https://github.com/mapbox/mapbox-gl-js
metafizzy,zdog,10.4k,https://github.com/metafizzy/zdog
nerfstudio-project,nerfstudio,9.9k,https://github.com/nerfstudio-project/nerfstudio
timzhang642,3D-Machine-Learning,9.9k,https://github.com/timzhang642/3D-Machine-Learning
cocos,cocos-engine,8.4k,https://github.com/cocos/cocos-engine
DavidHDev,react-bits,8.2k,https://github.com/DavidHDev/react-bits
microsoft,TRELLIS,8.1k,https://github.com/microsoft/TRELLIS
