username,repo_name,stars,repo_url
jwasham,coding-interview-university,313k,https://github.com/jwasham/coding-interview-university
TheAlgorithms,C-Plus-Plus,31.3k,https://github.com/TheAlgorithms/C-Plus-Plus
trekhleb,javascript-algorithms,190k,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,179k,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,122k,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,110k,https://github.com/krahets/hello-algo
kdn251,interviews,64k,https://github.com/kdn251/interviews
azl397985856,leetcode,55.1k,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,54.3k,https://github.com/youngyangyang04/leetcode-master
algorithm-visualizer,algorithm-visualizer,47.2k,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,35.6k,https://github.com/huihut/interview
halfrost,LeetCode-Go,33.4k,https://github.com/halfrost/LeetCode-Go
donnemartin,interactive-coding-challenges,30k,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27.1k,https://github.com/crossoverJie/JCSprout
keon,algorithms,24.4k,https://github.com/keon/algorithms
AtsushiSakai,PythonRobotics,24.3k,https://github.com/AtsushiSakai/PythonRobotics
mxgmn,WaveFunctionCollapse,23.8k,https://github.com/mxgmn/WaveFunctionCollapse
