username,repo_name,stars,repo_url
flutter,flutter,169k,https://github.com/flutter/flutter
facebook,react-native,121k,https://github.com/facebook/react-native
Genymobile,scrcpy,118k,https://github.com/Genymobile/scrcpy
justjavac,free-programming-books-zh_CN,113k,https://github.com/justjavac/free-programming-books-zh_CN
Hack-with-Github,Awesome-Hacking,89.5k,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,55k,https://github.com/Solido/awesome-flutter
tldr-pages,tldr,53.9k,https://github.com/tldr-pages/tldr
wasabeef,awesome-android-ui,51.7k,https://github.com/wasabeef/awesome-android-ui
google,material-design-icons,51.2k,https://github.com/google/material-design-icons
laurent22,joplin,48k,https://github.com/laurent22/joplin
appwrite,appwrite,47.5k,https://github.com/appwrite/appwrite
square,retrofit,43.3k,https://github.com/square/retrofit
android,architecture-samples,44.8k,https://github.com/android/architecture-samples
skylot,jadx,43k,https://github.com/skylot/jadx
dcloudio,uni-app,40.5k,https://github.com/dcloudio/uni-app
fastlane,fastlane,40k,https://github.com/fastlane/fastlane
termux,termux-app,39.4k,https://github.com/termux/termux-app
2dust,v2rayNG,38.8k,https://github.com/2dust/v2rayNG
PhilJay,MPAndroidChart,37.8k,https://github.com/PhilJay/MPAndroidChart
