username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,113k,https://github.com/justjavac/free-programming-books-zh_CN
angular,components,24.6k,https://github.com/angular/components
storybookjs,storybook,86k,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,64.8k,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,51.5k,https://github.com/ionic-team/ionic-framework
prettier,prettier,50.1k,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,44k,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,35.4k,https://github.com/SheetJS/sheetjs
wailsapp,wails,27k,https://github.com/wailsapp/wails
paperless-ngx,paperless-ngx,25.4k,https://github.com/paperless-ngx/paperless-ngx
sudheerj,javascript-interview-questions,25.1k,https://github.com/sudheerj/javascript-interview-questions
nrwl,nx,24.8k,https://github.com/nrwl/nx
NativeScript,NativeScript,24.6k,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,24.3k,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,22.1k,https://github.com/pubkey/rxdb
jhipster,generator-jhipster,21.8k,https://github.com/jhipster/generator-jhipster
teambit,bit,18k,https://github.com/teambit/bit
jasontaylordev,CleanArchitecture,17.7k,https://github.com/jasontaylordev/CleanArchitecture
