username,repo_name,stars,repo_url
bregman-arie,devops-exercises,69.7k,https://github.com/bregman-arie/devops-exercises
ansible,awx,14.4k,https://github.com/ansible/awx
trailofbits,algo,29.2k,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,27.7k,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23.2k,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,16.6k,https://github.com/kubernetes-sigs/kubespray
semaphoreui,semaphore,11.4k,https://github.com/semaphoreui/semaphore
easzlab,kubeasz,10.7k,https://github.com/easzlab/kubeasz
netbootxyz,netboot.xyz,9.9k,https://github.com/netbootxyz/netboot.xyz
geerlingguy,mac-dev-playbook,6.2k,https://github.com/geerlingguy/mac-dev-playbook
khuedoan,homelab,8.4k,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,8.4k,https://github.com/Tikam02/DevOps-Guide
Orange-Cyberdefense,GOAD,6.1k,https://github.com/Orange-Cyberdefense/GOAD
rundeck,rundeck,5.7k,https://github.com/rundeck/rundeck
ChristianLempa,boilerplates,5.2k,https://github.com/ChristianLempa/boilerplates
KubeOperator,KubeOperator,5k,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,4.7k,https://github.com/clong/DetectionLab
dev-sec,ansible-collection-hardening,4.2k,https://github.com/dev-sec/ansible-collection-hardening
