username,repo_name,stars,repo_url
public-apis,public-apis,329k,https://github.com/public-apis/public-apis
neovim,neovim,86.8k,https://github.com/neovim/neovim
fastapi,fastapi,81.5k,https://github.com/fastapi/fastapi
hoppscotch,hoppscotch,68.6k,https://github.com/hoppscotch/hoppscotch
strapi,strapi,65.3k,https://github.com/strapi/strapi
ocornut,imgui,63.5k,https://github.com/ocornut/imgui
meilisearch,meilisearch,49.5k,https://github.com/meilisearch/meilisearch
QuivrHQ,quivr,37.4k,https://github.com/QuivrHQ/quivr
trpc,trpc,36.3k,https://github.com/trpc/trpc
slatedocs,slate,36.1k,https://github.com/slatedocs/slate
Kong,insomnia,35.8k,https://github.com/Kong/insomnia
httpie,cli,34.9k,https://github.com/httpie/cli
ccxt,ccxt,34.9k,https://github.com/ccxt/ccxt
hasura,graphql-engine,31.4k,https://github.com/hasura/graphql-engine
mudler,LocalAI,30.8k,https://github.com/mudler/LocalAI
Binaryify,NeteaseCloudMusicApi,30.3k,https://github.com/Binaryify/NeteaseCloudMusicApi
directus,directus,29.4k,https://github.com/directus/directus
encode,django-rest-framework,28.9k,https://github.com/encode/django-rest-framework
YMFE,yapi,27.5k,https://github.com/YMFE/yapi
littlecodersh,ItChat,26k,https://github.com/littlecodersh/ItChat
