username,repo_name,stars,repo_url
arendst,Tasmota,22.9k,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,16.5k,https://github.com/MarlinFirmware/Marlin
tinygo-org,tinygo,15.9k,https://github.com/tinygo-org/tinygo
espressif,arduino-esp32,14.4k,https://github.com/espressif/arduino-esp32
arduino,arduino-cli,4.5k,https://github.com/arduino/arduino-cli
SpacehuhnTech,esp8266_deauther,13.9k,https://github.com/SpacehuhnTech/esp8266_deauther
rwaldron,johnny-five,13.3k,https://github.com/rwaldron/johnny-five
gurugio,lowlevelprogramming-university,11.7k,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,9.1k,https://github.com/hybridgroup/gobot
platformio,platformio-core,8.1k,https://github.com/platformio/platformio-core
justcallmekoko,ESP32Marauder,7k,https://github.com/justcallmekoko/ESP32Marauder
bblanchon,ArduinoJson,6.8k,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,6.8k,https://github.com/tzapu/WiFiManager
ggerganov,ggwave,5.7k,https://github.com/ggerganov/ggwave
olikraus,u8g2,5.4k,https://github.com/olikraus/u8g2
Serial-Studio,Serial-Studio,5.2k,https://github.com/Serial-Studio/Serial-Studio
omriharel,deej,5k,https://github.com/omriharel/deej
ClemensElflein,OpenMower,4.8k,https://github.com/ClemensElflein/OpenMower
Arduino-IRremote,Arduino-IRremote,4.6k,https://github.com/Arduino-IRremote/Arduino-IRremote
