username,repo_name,stars,repo_url
bitwarden,server,16.2k,https://github.com/bitwarden/server
abpframework,abp,13.3k,https://github.com/abpframework/abp
dotnet,aspnet-api-versioning,3.1k,https://github.com/dotnet/aspnet-api-versioning
aspnetboilerplate,aspnetboilerplate,11.9k,https://github.com/aspnetboilerplate/aspnetboilerplate
nopSolutions,nopCommerce,9.5k,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,7.4k,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,7.3k,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6.9k,https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,4.9k,https://github.com/FastEndpoints/FastEndpoints
mjebrahimi,Awesome-Microservices-DotNet,2.9k,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
milanm,DotNet-Developer-Roadmap,2.7k,https://github.com/milanm/DotNet-Developer-Roadmap
loic-sharma,BaGet,2.7k,https://github.com/loic-sharma/BaGet
smartstore,Smartstore,1.3k,https://github.com/smartstore/Smartstore
serenity-is,Serenity,2.6k,https://github.com/serenity-is/Serenity
JimBobSquarePants,ImageProcessor,2.5k,https://github.com/JimBobSquarePants/ImageProcessor
TrilonIO,aspnetcore-Vue-starter,1.2k,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1.3k,https://github.com/MarimerLLC/csla
