username,repo_name,stars,repo_url
sindresorhus,awesome-nodejs,59.8k,https://github.com/sindresorhus/awesome-nodejs
vinta,awesome-python,236k,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,219k,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,160k,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,139k,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,99.2k,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,91.3k,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,89.5k,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,80.3k,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,73.5k,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,72k,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,67k,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,62.1k,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,60.7k,https://github.com/binhnguyennus/awesome-scalability
prakhar1989,awesome-courses,59.2k,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,55k,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,51.7k,https://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,49.8k,https://github.com/tiimgreen/github-cheat-sheet
rust-unofficial,awesome-rust,49k,https://github.com/rust-unofficial/awesome-rust
