username,repo_name,stars,repo_url
bregman-arie,devops-exercises,69.7k,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,69k,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,57.9k,https://github.com/localstack/localstack
serverless,serverless,46.6k,https://github.com/serverless/serverless
donnemartin,awesome-aws,12.7k,https://github.com/donnemartin/awesome-aws
danny-avila,LibreChat,22.7k,https://github.com/danny-avila/LibreChat
pulumi,pulumi,22.5k,https://github.com/pulumi/pulumi
getsops,sops,17.9k,https://github.com/getsops/sops
kubernetes-sigs,kubespray,16.6k,https://github.com/kubernetes-sigs/kubespray
aws,chalice,10.8k,https://github.com/aws/chalice
ramitsurana,awesome-kubernetes,15.2k,https://github.com/ramitsurana/awesome-kubernetes
milanm,DevOps-Roadmap,14.1k,https://github.com/milanm/DevOps-Roadmap
caprover,caprover,13.7k,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,13.2k,https://github.com/GoogleCloudPlatform/terraformer
prowler-cloud,prowler,11.3k,https://github.com/prowler-cloud/prowler
infracost,infracost,11.3k,https://github.com/infracost/infracost
apereo,cas,11k,https://github.com/apereo/cas
