username,repo_name,stars,repo_url
microsoft,azuredatastudio,7.7k,https://github.com/microsoft/azuredatastudio
bregman-arie,devops-exercises,69.7k,https://github.com/bregman-arie/devops-exercises
danny-avila,LibreChat,22.7k,https://github.com/danny-avila/LibreChat
pulumi,pulumi,22.5k,https://github.com/pulumi/pulumi
getsops,sops,17.9k,https://github.com/getsops/sops
ramitsurana,awesome-kubernetes,15.2k,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,14.2k,https://github.com/Azure/azure-quickstart-templates
milanm,DevOps-Roadmap,14.1k,https://github.com/milanm/DevOps-Roadmap
caprover,caprover,13.7k,https://github.com/caprover/caprover
prowler-cloud,prowler,11.3k,https://github.com/prowler-cloud/prowler
infracost,infracost,11.3k,https://github.com/infracost/infracost
budtmo,docker-android,10.4k,https://github.com/budtmo/docker-android
google,go-cloud,9.6k,https://github.com/google/go-cloud
Netflix,metaflow,8.6k,https://github.com/Netflix/metaflow
YSGStudyHards,DotNetGuide,7.8k,https://github.com/YSGStudyHards/DotNetGuide
midwayjs,midway,7.5k,https://github.com/midwayjs/midway
bridgecrewio,checkov,7.4k,https://github.com/bridgecrewio/checkov
thangchung,clean-code-dotnet,7.3k,https://github.com/thangchung/clean-code-dotnet
