username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,155k,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,82.6k,https://github.com/nvm-sh/nvm
junegunn,fzf,68.4k,https://github.com/junegunn/fzf
starship,starship,47.3k,https://github.com/starship/starship
google,zx,43.7k,https://github.com/google/zx
LeCoupa,awesome-cheatsheets,41.8k,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,41.4k,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,37k,https://github.com/koalaman/shellcheck
dylanaraps,neofetch,22.6k,https://github.com/dylanaraps/neofetch
alebcay,awesome-shell,33.8k,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,32.9k,https://github.com/jaywcjlove/linux-command
mathiasbynens,dotfiles,30.6k,https://github.com/mathiasbynens/dotfiles
ajeetdsouza,zoxide,25.2k,https://github.com/ajeetdsouza/zoxide
kingToolbox,WindTerm,25.2k,https://github.com/kingToolbox/WindTerm
withfig,autocomplete,24.7k,https://github.com/withfig/autocomplete
asdf-vm,asdf,23k,https://github.com/asdf-vm/asdf
atuinsh,atuin,22.7k,https://github.com/atuinsh/atuin
warpdotdev,Warp,22.3k,https://github.com/warpdotdev/Warp
Nyr,openvpn-install,19.6k,https://github.com/Nyr/openvpn-install
