username,repo_name,stars,repo_url
bitcoin,bitcoin,82.3k,https://github.com/bitcoin/bitcoin
freqtrade,freqtrade,36.9k,https://github.com/freqtrade/freqtrade
ccxt,ccxt,34.9k,https://github.com/ccxt/ccxt
bitcoinbook,bitcoinbook,24.1k,https://github.com/bitcoinbook/bitcoinbook
HelloZeroNet,ZeroNet,18.5k,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,13.9k,https://github.com/solana-labs/solana
bbfamily,abu,13k,https://github.com/bbfamily/abu
hummingbot,hummingbot,11.7k,https://github.com/hummingbot/hummingbot
UFund-Me,Qbot,10.2k,https://github.com/UFund-Me/Qbot
askmike,gekko,10.1k,https://github.com/askmike/gekko
getumbrel,umbrel,8.5k,https://github.com/getumbrel/umbrel
dvf,blockchain,7.9k,https://github.com/dvf/blockchain
lightningnetwork,lnd,7.8k,https://github.com/lightningnetwork/lnd
spesmilo,electrum,7.8k,https://github.com/spesmilo/electrum
lbryio,lbry-sdk,7.2k,https://github.com/lbryio/lbry-sdk
yeasy,blockchain_guide,6.9k,https://github.com/yeasy/blockchain_guide
btcpayserver,btcpayserver,6.6k,https://github.com/btcpayserver/btcpayserver
btcsuite,btcd,6.4k,https://github.com/btcsuite/btcd
jesse-ai,jesse,6.1k,https://github.com/jesse-ai/jesse
bitcoinjs,bitcoinjs-lib,5.8k,https://github.com/bitcoinjs/bitcoinjs-lib
