username,repo_name,stars,repo_url
ccxt,ccxt,34.9k,https://github.com/ccxt/ccxt
feder-cr,Jobs_Applier_AI_Agent_AIHawk,27.4k,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
python-telegram-bot,python-telegram-bot,27.1k,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,25.7k,https://github.com/discordjs/discord.js
wechaty,wechaty,21.1k,https://github.com/wechaty/wechaty
RasaHQ,rasa,19.6k,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,17.1k,https://github.com/InstaPy/InstaPy
hubotio,hubot,16.7k,https://github.com/hubotio/hubot
pedroslopez,whatsapp-web.js,16.3k,https://github.com/pedroslopez/whatsapp-web.js
leon-ai,leon,16k,https://github.com/leon-ai/leon
Rapptz,discord.py,15.2k,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,15.1k,https://github.com/tgbot-collection/YYeTsBot
lss233,chatgpt-mirai-qq-bot,14.3k,https://github.com/lss233/chatgpt-mirai-qq-bot
gunthercox,ChatterBot,14.2k,https://github.com/gunthercox/ChatterBot
hummingbot,hummingbot,11.7k,https://github.com/hummingbot/hummingbot
howdyai,botkit,11.5k,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,10.5k,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,10.1k,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8.7k,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,8.6k,https://github.com/telegraf/telegraf
