username,repo_name,stars,repo_url
Genymobile,scrcpy,118k,https://github.com/Genymobile/scrcpy
neovim,neovim,86.8k,https://github.com/neovim/neovim
obsproject,obs-studio,62.6k,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,62.1k,https://github.com/fffaraz/awesome-cpp
git,git,53.7k,https://github.com/git/git
FFmpeg,FFmpeg,48.1k,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,43k,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,37.6k,https://github.com/vim/vim
curl,curl,37k,https://github.com/curl/curl
huihut,interview,35.6k,https://github.com/huihut/interview
mpv-player,mpv,29.9k,https://github.com/mpv-player/mpv
kovidgoyal,kitty,26.5k,https://github.com/kovidgoyal/kitty
ossrs,srs,26.4k,https://github.com/ossrs/srs
ggreer,the_silver_searcher,26.4k,https://github.com/ggreer/the_silver_searcher
raysan5,raylib,25.2k,https://github.com/raysan5/raylib
microsoft,vcpkg,24.1k,https://github.com/microsoft/vcpkg
google,flatbuffers,23.8k,https://github.com/google/flatbuffers
ruby,ruby,22.4k,https://github.com/ruby/ruby
hashcat,hashcat,22.1k,https://github.com/hashcat/hashcat
forthespada,CS-Books,22k,https://github.com/forthespada/CS-Books
