username,repo_name,stars,repo_url
jaywcjlove,linux-command,32.9k,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,25.9k,https://github.com/refined-github/refined-github
openai-translator,openai-translator,24.2k,https://github.com/openai-translator/openai-translator
darkreader,darkreader,20.3k,https://github.com/darkreader/darkreader
dailydotdev,daily,19.2k,https://github.com/dailydotdev/daily
gildas-lormeau,SingleFile,17k,https://github.com/gildas-lormeau/SingleFile
checkly,headless-recorder,15.1k,https://github.com/checkly/headless-recorder
AutomaApp,automa,15k,https://github.com/AutomaApp/automa
immersive-translate,immersive-translate,14.8k,https://github.com/immersive-translate/immersive-translate
unbug,codelf,14.1k,https://github.com/unbug/codelf
alyssaxuu,screenity,13.7k,https://github.com/alyssaxuu/screenity
wong2,chatgpt-google-extension,13.2k,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,12.9k,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,12.3k,https://github.com/crimx/ext-saladict
xifangczy,cat-catch,11.7k,https://github.com/xifangczy/cat-catch
listen1,listen1_chrome_extension,11.6k,https://github.com/listen1/listen1_chrome_extension
PlasmoHQ,plasmo,11.2k,https://github.com/PlasmoHQ/plasmo
ajayyy,SponsorBlock,11k,https://github.com/ajayyy/SponsorBlock
josStorer,chatGPTBox,10.4k,https://github.com/josStorer/chatGPTBox
chathub-dev,chathub,10.2k,https://github.com/chathub-dev/chathub
