username,repo_name,stars,repo_url
electron,electron,116k,https://github.com/electron/electron
puppeteer,puppeteer,89.9k,https://github.com/puppeteer/puppeteer
microsoft,playwright,69.8k,https://github.com/microsoft/playwright
FiloSottile,mkcert,52.5k,https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,32.9k,https://github.com/jaywcjlove/linux-command
feder-cr,Jobs_Applier_AI_Agent_AIHawk,27.4k,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
ovity,octotree,23k,https://github.com/ovity/octotree
segment-boneyard,nightmare,19.6k,https://github.com/segment-boneyard/nightmare
gildas-lormeau,SingleFile,17k,https://github.com/gildas-lormeau/SingleFile
GoogleChrome,chrome-extensions-samples,16.1k,https://github.com/GoogleChrome/chrome-extensions-samples
checkly,headless-recorder,15.1k,https://github.com/checkly/headless-recorder
google,WebFundamentals,13.9k,https://github.com/google/WebFundamentals
schickling,chromeless,13.2k,https://github.com/schickling/chromeless
MetaMask,metamask-extension,12.4k,https://github.com/MetaMask/metamask-extension
crimx,ext-saladict,12.3k,https://github.com/crimx/ext-saladict
casesandberg,react-color,12.1k,https://github.com/casesandberg/react-color
moonD4rk,HackBrowserData,12k,https://github.com/moonD4rk/HackBrowserData
xifangczy,cat-catch,11.7k,https://github.com/xifangczy/cat-catch
chromedp,chromedp,11.5k,https://github.com/chromedp/chromedp
ajayyy,SponsorBlock,11k,https://github.com/ajayyy/SponsorBlock
