username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,176k,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,68.4k,https://github.com/junegunn/fzf
n8n-io,n8n,64k,https://github.com/n8n-io/n8n
sherlock-project,sherlock,62.8k,https://github.com/sherlock-project/sherlock
jesseduffield,lazygit,57.3k,https://github.com/jesseduffield/lazygit
sharkdp,fd,35.8k,https://github.com/sharkdp/fd
BurntSushi,ripgrep,50.8k,https://github.com/BurntSushi/ripgrep
wagoodman,dive,49.7k,https://github.com/wagoodman/dive
All-Hands-AI,OpenHands,48.5k,https://github.com/All-Hands-AI/OpenHands
google,zx,43.7k,https://github.com/google/zx
spf13,cobra,39.6k,https://github.com/spf13/cobra
chubin,cheat.sh,39k,https://github.com/chubin/cheat.sh
cli,cli,38.4k,https://github.com/cli/cli
ultralytics,ultralytics,37.3k,https://github.com/ultralytics/ultralytics
httpie,cli,34.9k,https://github.com/httpie/cli
alebcay,awesome-shell,33.8k,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,31.7k,https://github.com/ibraheemdev/modern-unix
charmbracelet,bubbletea,29.8k,https://github.com/charmbracelet/bubbletea
tqdm,tqdm,29.4k,https://github.com/tqdm/tqdm
