username,repo_name,stars,repo_url
metabase,metabase,41k,https://github.com/metabase/metabase
penpot,penpot,36.7k,https://github.com/penpot/penpot
logseq,logseq,35.2k,https://github.com/logseq/logseq
deeplearning4j,deeplearning4j,13.8k,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11.7k,https://github.com/LightTable/LightTable
kanaka,mal,10.2k,https://github.com/kanaka/mal
lk-geimfari,awesomo,9.5k,https://github.com/lk-geimfari/awesomo
tonsky,datascript,5.5k,https://github.com/tonsky/datascript
reagent-project,reagent,4.8k,https://github.com/reagent-project/reagent
defold,defold,4.7k,https://github.com/defold/defold
izhangzhihao,intellij-rainbow-brackets,4.5k,https://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,4.2k,https://github.com/riemann/riemann
babashka,babashka,4.2k,https://github.com/babashka/babashka
weavejester,compojure,4.1k,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,4k,https://github.com/bbatsov/clojure-style-guide
status-im,status-mobile,3.9k,https://github.com/status-im/status-mobile
ring-clojure,ring,3.8k,https://github.com/ring-clojure/ring
clojure-emacs,cider,3.6k,https://github.com/clojure-emacs/cider
viebel,klipse,3.1k,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,3.1k,https://github.com/tallesl/Rich-Hickey-fanclub
