username,repo_name,stars,repo_url
realm,SwiftLint,18.8k,https://github.com/realm/SwiftLint
facebook,pyre-check,6.9k,https://github.com/facebook/pyre-check
analysis-tools-dev,static-analysis,13.6k,https://github.com/analysis-tools-dev/static-analysis
federico-busato,Modern-CPP-Programming,12.9k,https://github.com/federico-busato/Modern-CPP-Programming
Kristories,awesome-guidelines,10k,https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,9.7k,https://github.com/super-linter/super-linter
SonarSource,sonarqube,9.4k,https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,8.5k,https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,8.2k,https://github.com/reviewdog/reviewdog
detekt,detekt,6.4k,https://github.com/detekt/detekt
trekhleb,state-of-the-art-shitcode,5.8k,https://github.com/trekhleb/state-of-the-art-shitcode
import-js,eslint-plugin-import,5.7k,https://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,5.4k,https://github.com/pylint-dev/pylint
pmd,pmd,5k,https://github.com/pmd/pmd
simplecov-ruby,simplecov,4.8k,https://github.com/simplecov-ruby/simplecov
kucherenko,jscpd,4.8k,https://github.com/kucherenko/jscpd
phpro,grumphp,4.2k,https://github.com/phpro/grumphp
htmlhint,HTMLHint,3.1k,https://github.com/htmlhint/HTMLHint
crate-ci,typos,3k,https://github.com/crate-ci/typos
