username,repo_name,stars,repo_url
vercel,pkg,24.4k,https://github.com/vercel/pkg
rust-lang,rust,102k,https://github.com/rust-lang/rust
sveltejs,svelte,81.6k,https://github.com/sveltejs/svelte
webpack,webpack,65.1k,https://github.com/webpack/webpack
FuelLabs,sway,62.4k,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55.8k,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,50.1k,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43.7k,https://github.com/parcel-bundler/parcel
babel,babel,43.4k,https://github.com/babel/babel
evanw,esbuild,38.6k,https://github.com/evanw/esbuild
typst,typst,38.1k,https://github.com/typst/typst
ziglang,zig,37.7k,https://github.com/ziglang/zig
vlang,v,36.1k,https://github.com/vlang/v
markedjs,marked,34k,https://github.com/markedjs/marked
carbon-language,carbon-lang,32.7k,https://github.com/carbon-language/carbon-lang
swc-project,swc,31.8k,https://github.com/swc-project/swc
v8,v8,23.8k,https://github.com/v8/v8
oracle,graal,20.7k,https://github.com/oracle/graal
RustPython,RustPython,19.7k,https://github.com/RustPython/RustPython
