username,repo_name,stars,repo_url
localstack,localstack,57.9k,https://github.com/localstack/localstack
harness,harness,32.5k,https://github.com/harness/harness
jenkinsci,jenkins,23.7k,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,15k,https://github.com/auchenberg/volkswagen
milanm,DevOps-Roadmap,14.1k,https://github.com/milanm/DevOps-Roadmap
dagger,dagger,12.2k,https://github.com/dagger/dagger
openshift,origin,8.5k,https://github.com/openshift/origin
concourse,concourse,7.5k,https://github.com/concourse/concourse
gocd,gocd,7.2k,https://github.com/gocd/gocd
Flagsmith,flagsmith,5.4k,https://github.com/Flagsmith/flagsmith
buildbot,buildbot,5.3k,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5.2k,https://github.com/gaia-pipeline/gaia
ovh,cds,4.7k,https://github.com/ovh/cds
TheLartians,ModernCppStarter,4.6k,https://github.com/TheLartians/ModernCppStarter
jenkins-x,jx,4.6k,https://github.com/jenkins-x/jx
Strider-CD,strider,4.6k,https://github.com/Strider-CD/strider
JamesIves,github-pages-deploy-action,4.4k,https://github.com/JamesIves/github-pages-deploy-action
werf,werf,4.3k,https://github.com/werf/werf
SamKirkland,FTP-Deploy-Action,4.1k,https://github.com/SamKirkland/FTP-Deploy-Action
iterative,cml,4.1k,https://github.com/iterative/cml
