username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,219k,https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,179k,https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,62.1k,https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,55.1k,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,54.3k,https://github.com/youngyangyang04/leetcode-master
WerWolv,ImHex,47.3k,https://github.com/WerWolv/ImHex
Light-City,CPlusPlusThings,40.3k,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,39.3k,https://github.com/ClickHouse/ClickHouse
huihut,interview,35.6k,https://github.com/huihut/interview
doocs,leetcode,33.1k,https://github.com/doocs/leetcode
carbon-language,carbon-lang,32.7k,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,32k,https://github.com/CMU-Perceptual-Computing-Lab/openpose
TheAlgorithms,C-Plus-Plus,31.3k,https://github.com/TheAlgorithms/C-Plus-Plus
aseprite,aseprite,31k,https://github.com/aseprite/aseprite
microsoft,vcpkg,24.1k,https://github.com/microsoft/vcpkg
dragonflydb,dragonfly,27.3k,https://github.com/dragonflydb/dragonfly
gabime,spdlog,25.4k,https://github.com/gabime/spdlog
changkun,modern-cpp-tutorial,24.5k,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,24k,https://github.com/ethereum/solidity
