username,repo_name,stars,repo_url
bitcoin,bitcoin,82.3k,https://github.com/bitcoin/bitcoin
freqtrade,freqtrade,36.9k,https://github.com/freqtrade/freqtrade
OpenBB-finance,OpenBB,36.6k,https://github.com/OpenBB-finance/OpenBB
ccxt,ccxt,34.9k,https://github.com/ccxt/ccxt
dogecoin,dogecoin,14.9k,https://github.com/dogecoin/dogecoin
hummingbot,hummingbot,11.7k,https://github.com/hummingbot/hummingbot
monero-project,monero,9.3k,https://github.com/monero-project/monero
xmrig,xmrig,9.1k,https://github.com/xmrig/xmrig
dvf,blockchain,7.9k,https://github.com/dvf/blockchain
lightningnetwork,lnd,7.8k,https://github.com/lightningnetwork/lnd
StockSharp,StockSharp,7.8k,https://github.com/StockSharp/StockSharp
kroma-network,tachyon,7.8k,https://github.com/kroma-network/tachyon
firmai,financial-machine-learning,7.6k,https://github.com/firmai/financial-machine-learning
lbryio,lbry-sdk,7.2k,https://github.com/lbryio/lbry-sdk
cosmos,cosmos-sdk,6.5k,https://github.com/cosmos/cosmos-sdk
sammchardy,python-binance,6.4k,https://github.com/sammchardy/python-binance
jesse-ai,jesse,6.1k,https://github.com/jesse-ai/jesse
tendermint,tendermint,5.8k,https://github.com/tendermint/tendermint
chrisleekr,binance-trading-bot,5.2k,https://github.com/chrisleekr/binance-trading-bot
sea-protocol,seaprotocol,5.1k,https://github.com/sea-protocol/seaprotocol
