username,repo_name,stars,repo_url
crystal-lang,crystal,19.6k,https://github.com/crystal-lang/crystal
kemalcr,kemal,3.7k,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3.4k,https://github.com/veelenga/awesome-crystal
luckyframework,lucky,2.6k,https://github.com/luckyframework/lucky
amberframework,amber,2.6k,https://github.com/amberframework/amber
vitobotta,hetzner-k3s,2.2k,https://github.com/vitobotta/hetzner-k3s
getmango,Mango,1.8k,https://github.com/getmango/Mango
ffwff,lilith,1.2k,https://github.com/ffwff/lilith
drujensen,fib,885,https://github.com/drujensen/fib
hanabi1224,Programming-Language-Benchmarks,699,https://github.com/hanabi1224/Programming-Language-Benchmarks
owasp-noir,noir,669,https://github.com/owasp-noir/noir
amethyst-framework,amethyst,646,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,554,https://github.com/askn/crystal-by-example
crystal-ameba,ameba,527,https://github.com/crystal-ameba/ameba
crystal-community,icr,504,https://github.com/crystal-community/icr
will,crystal-pg,465,https://github.com/will/crystal-pg
elbywan,crystalline,458,https://github.com/elbywan/crystalline
martenframework,marten,432,https://github.com/martenframework/marten
imdrasil,jennifer.cr,422,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,419,https://github.com/vim-crystal/vim-crystal
